system:time_start,undefined
"Jan 1, 2011",31.914
"Feb 1, 2011",34.165
"Mar 1, 2011",38.282
"Apr 1, 2011",37.337
"May 1, 2011",35.368
"Jun 1, 2011",30.012
"Jul 1, 2011",29.784
"Aug 1, 2011",31.952
"Sep 1, 2011",34.282
"Oct 1, 2011",33.505
"Nov 1, 2011",30.043
"Dec 1, 2011",29.87
"Jan 1, 2012",31.755
"Feb 1, 2012",35.95
"Mar 1, 2012",39.245
"Apr 1, 2012",39.298
"May 1, 2012",33.873
"Jun 1, 2012",33.767
"Jul 1, 2012",33.279
"Aug 1, 2012",32.993
"Sep 1, 2012",33.656
"Oct 1, 2012",32.441
"Nov 1, 2012",31.562
"Dec 1, 2012",31.174
"Jan 1, 2013",33.836
"Feb 1, 2013",36.095
"Mar 1, 2013",39.311
"Apr 1, 2013",39.797
"May 1, 2013",33.797
"Jun 1, 2013",31.425
"Jul 1, 2013",
"Aug 1, 2013",26.672
"Sep 1, 2013",33.27
"Oct 1, 2013",32.27
"Nov 1, 2013",30.061
"Dec 1, 2013",30.098
"Jan 1, 2014",31.635
"Feb 1, 2014",35.157
"Mar 1, 2014",38.687
"Apr 1, 2014",39.157
"May 1, 2014",34.639
"Jun 1, 2014",31.475
"Jul 1, 2014",29.306
"Aug 1, 2014",
"Sep 1, 2014",30.434
"Oct 1, 2014",29.8
"Nov 1, 2014",29.834
"Dec 1, 2014",29.863
"Jan 1, 2015",30.37
"Feb 1, 2015",35.421
"Mar 1, 2015",37.956
"Apr 1, 2015",36.179
"May 1, 2015",32.75
"Jun 1, 2015",28.591
"Jul 1, 2015",29.399
"Aug 1, 2015",31.823
"Sep 1, 2015",34.041
"Oct 1, 2015",32.443
"Nov 1, 2015",29.79
"Dec 1, 2015",30.499
"Jan 1, 2016",31.363
"Feb 1, 2016",33.383
"Mar 1, 2016",39.755
"Apr 1, 2016",41.635
"May 1, 2016",37.856
"Jun 1, 2016",33.054
"Jul 1, 2016",30.098
"Aug 1, 2016",33.514
"Sep 1, 2016",34.007
"Oct 1, 2016",35.82
"Nov 1, 2016",33.604
"Dec 1, 2016",32.909
"Jan 1, 2017",33.178
"Feb 1, 2017",36.388
"Mar 1, 2017",39.335
"Apr 1, 2017",37.03
"May 1, 2017",37.082
"Jun 1, 2017",32.198
"Jul 1, 2017",30.08
"Aug 1, 2017",35.342
"Sep 1, 2017",34.35
"Oct 1, 2017",30.571
"Nov 1, 2017",30.061
"Dec 1, 2017",30.115
"Jan 1, 2018",31.322
"Feb 1, 2018",35.868
"Mar 1, 2018",37.961
"Apr 1, 2018",36.739
"May 1, 2018",33.521
"Jun 1, 2018",31.752
"Jul 1, 2018",27.701
"Aug 1, 2018",26.628
"Sep 1, 2018",35.724
"Oct 1, 2018",31.297
"Nov 1, 2018",31.849
"Dec 1, 2018",30.156
"Jan 1, 2019",31.897
"Feb 1, 2019",35.206
"Mar 1, 2019",40.202
"Apr 1, 2019",39.926
"May 1, 2019",34.941
"Jun 1, 2019",33.995
"Jul 1, 2019",33.698
"Aug 1, 2019",32.27
"Sep 1, 2019",30.764
"Oct 1, 2019",30.036
"Nov 1, 2019",30.101
"Dec 1, 2019",29.484
"Jan 1, 2020",31.89
"Feb 1, 2020",34.647
"Mar 1, 2020",37.272
"Apr 1, 2020",39.147
"May 1, 2020",34.59
"Jun 1, 2020",32
"Jul 1, 2020",30.116
"Aug 1, 2020",34.83
"Sep 1, 2020",31.432
"Oct 1, 2020",31.832
"Nov 1, 2020",29.142
"Dec 1, 2020",30.039
