system:time_start,2001,2010,2022
"May 2, 2010",43.422,40.614,38.01
"May 3, 2010",37.579,34.768,38.091
"May 4, 2010",41.984,40.204,34.701
"May 5, 2010",37.202,35.416,38.458
"May 6, 2010",42.995,40.871,34.975
"May 7, 2010",43.938,36.556,37.483
"May 8, 2010",39.951,37.41,35.888
"May 9, 2010",40.229,41.467,37.213
"May 10, 2010",40.264,37.454,33.698
"May 11, 2010",43.875,43.192,
"May 12, 2010",38.969,41.096,42.992
"May 13, 2010",42.994,42.119,37.172
"May 14, 2010",39.824,37.259,35.457
"May 15, 2010",43.348,42.365,
"May 16, 2010",40.67,40.601,36.586
"May 17, 2010",41.579,38.224,38.457
"May 18, 2010",42.778,41.672,38.013
"May 19, 2010",39.833,35.936,
"May 20, 2010",44.519,35.023,26.739
"May 21, 2010",40.977,,27.667
"May 22, 2010",46.115,31.858,31.336
"May 23, 2010",43.413,35.074,30.834
"May 24, 2010",40.58,34.296,32.9
"May 25, 2010",42.95,35.316,32.058
"May 26, 2010",39.59,37.461,33.518
"May 27, 2010",40.903,38.763,33.654
"May 28, 2010",38.213,35.462,36.223
"May 29, 2010",41.337,39.611,33.886
"May 30, 2010",37.651,36.041,35.93
"May 31, 2010",39.137,39.484,22.641
"Jun 1, 2010",36.528,35.601,33.575
"Jun 2, 2010",41.426,34.198,31.908
"Jun 3, 2010",45.304,38.121,31.644
"Jun 4, 2010",,34.976,32.005
"Jun 5, 2010",37.427,41.63,30.585
"Jun 6, 2010",,31.878,33.003
"Jun 7, 2010",36.043,41.172,35.998
"Jun 8, 2010",,41.485,32.678
"Jun 9, 2010",35.838,43.341,30.538
"Jun 10, 2010",34.757,41.796,38.038
"Jun 11, 2010",,41.408,37.375
"Jun 12, 2010",,41.177,34.063
"Jun 13, 2010",,,34.06
"Jun 14, 2010",,34.794,33.033
"Jun 15, 2010",,,
"Jun 16, 2010",,31.848,31.216
"Jun 17, 2010",36.794,27.121,32.588
"Jun 18, 2010",29.891,36.043,30.338
"Jun 19, 2010",,32.172,33.426
"Jun 20, 2010",32.144,,29.586
"Jun 21, 2010",,33.283,26.01
"Jun 22, 2010",28.23,32.008,30.212
"Jun 23, 2010",21.079,34.95,
"Jun 24, 2010",,,28.776
"Jun 25, 2010",32.141,34.312,
"Jun 26, 2010",35.594,,26.246
"Jun 27, 2010",37.032,34.322,27.638
"Jun 28, 2010",,36.153,21.619
"Jun 29, 2010",,33.853,29.897
"Jun 30, 2010",,35.007,25.603
"Jul 1, 2010",28.706,,29.473
"Jul 2, 2010",,,
"Jul 3, 2010",31.851,,37.424
"Jul 4, 2010",29.802,30.881,
"Jul 5, 2010",31.119,34.678,25.59
"Jul 6, 2010",34.74,32.629,
"Jul 7, 2010",,,
"Jul 8, 2010",35.054,,
"Jul 9, 2010",,32.036,
